 # tiempo		x		  y		  vx		  vy
   0.000000E+00   0.000000E+00   0.000000E+00   0.141421E+02   0.141421E+02
   0.481025E-02   0.680272E-01   0.679138E-01   0.141421E+02   0.140950E+02
   0.962050E-02   0.136054E+00   0.135601E+00   0.141421E+02   0.140479E+02
   0.144308E-01   0.204082E+00   0.203061E+00   0.141421E+02   0.140007E+02
   0.192410E-01   0.272109E+00   0.270295E+00   0.141421E+02   0.139536E+02
   0.240513E-01   0.340136E+00   0.337302E+00   0.141421E+02   0.139064E+02
   0.288615E-01   0.408163E+00   0.404082E+00   0.141421E+02   0.138593E+02
   0.336718E-01   0.476190E+00   0.470635E+00   0.141421E+02   0.138122E+02
   0.384820E-01   0.544218E+00   0.536961E+00   0.141421E+02   0.137650E+02
   0.432923E-01   0.612245E+00   0.603061E+00   0.141421E+02   0.137179E+02
   0.481025E-01   0.680272E+00   0.668934E+00   0.141421E+02   0.136707E+02
   0.529128E-01   0.748299E+00   0.734580E+00   0.141421E+02   0.136236E+02
   0.577230E-01   0.816327E+00   0.800000E+00   0.141421E+02   0.135765E+02
   0.625333E-01   0.884354E+00   0.865193E+00   0.141421E+02   0.135293E+02
   0.673435E-01   0.952381E+00   0.930159E+00   0.141421E+02   0.134822E+02
   0.721538E-01   0.102041E+01   0.994898E+00   0.141421E+02   0.134350E+02
   0.769640E-01   0.108844E+01   0.105941E+01   0.141421E+02   0.133879E+02
   0.817743E-01   0.115646E+01   0.112370E+01   0.141421E+02   0.133407E+02
   0.865845E-01   0.122449E+01   0.118776E+01   0.141421E+02   0.132936E+02
   0.913948E-01   0.129252E+01   0.125159E+01   0.141421E+02   0.132465E+02
   0.962050E-01   0.136054E+01   0.131519E+01   0.141421E+02   0.131993E+02
   0.101015E+00   0.142857E+01   0.137857E+01   0.141421E+02   0.131522E+02
   0.105826E+00   0.149660E+01   0.144172E+01   0.141421E+02   0.131050E+02
   0.110636E+00   0.156463E+01   0.150465E+01   0.141421E+02   0.130579E+02
   0.115446E+00   0.163265E+01   0.156735E+01   0.141421E+02   0.130108E+02
   0.120256E+00   0.170068E+01   0.162982E+01   0.141421E+02   0.129636E+02
   0.125067E+00   0.176871E+01   0.169206E+01   0.141421E+02   0.129165E+02
   0.129877E+00   0.183673E+01   0.175408E+01   0.141421E+02   0.128693E+02
   0.134687E+00   0.190476E+01   0.181587E+01   0.141421E+02   0.128222E+02
   0.139497E+00   0.197279E+01   0.187744E+01   0.141421E+02   0.127751E+02
   0.144308E+00   0.204082E+01   0.193878E+01   0.141421E+02   0.127279E+02
   0.149118E+00   0.210884E+01   0.199989E+01   0.141421E+02   0.126808E+02
   0.153928E+00   0.217687E+01   0.206077E+01   0.141421E+02   0.126336E+02
   0.158738E+00   0.224490E+01   0.212143E+01   0.141421E+02   0.125865E+02
   0.163549E+00   0.231293E+01   0.218186E+01   0.141421E+02   0.125394E+02
   0.168359E+00   0.238095E+01   0.224206E+01   0.141421E+02   0.124922E+02
   0.173169E+00   0.244898E+01   0.230204E+01   0.141421E+02   0.124451E+02
   0.177979E+00   0.251701E+01   0.236179E+01   0.141421E+02   0.123979E+02
   0.182790E+00   0.258503E+01   0.242132E+01   0.141421E+02   0.123508E+02
   0.187600E+00   0.265306E+01   0.248061E+01   0.141421E+02   0.123037E+02
